acq_date,latitude,longitude,brightness,scan,track,confidence,bright_t31,frp,type,month,weekofyear,season
2019-08-21,28.55875,76.96315,317.5,1.1,1.1,49.5,295.04999999999995,8.35,2.0,8,34,Summer
2019-08-22,23.7224,86.2081,306.4,1.1,1.1,64.0,290.6,6.2,2.0,8,34,Summer
2019-08-23,20.9568,85.1778,304.9,1.0,1.0,61.0,282.6,5.4,2.0,8,34,Summer
2019-08-25,15.1772,76.662,305.6,1.1,1.1,65.0,285.1,8.2,2.0,8,34,Summer
2019-08-26,23.772350000000003,86.27645,323.4,1.05,1.05,58.5,295.05,12.0,2.0,8,35,Summer
2019-08-27,26.13865,80.67375,314.9,1.2999999999999998,1.15,42.0,296.0,8.9,1.0,8,35,Summer
2019-08-28,23.2725,83.46090000000001,308.20000000000005,1.05,1.05,57.5,290.0,4.75,1.0,8,35,Summer
2019-08-29,23.77635,86.36375000000001,314.1,1.15,1.05,52.0,292.85,7.35,2.0,8,35,Summer
2019-08-30,17.9767,79.7046,311.2,1.4,1.2,31.0,288.5,15.1,0.0,8,35,Summer
2019-08-31,23.7728,86.35315,309.7,1.0,1.0,48.0,292.8,6.85,2.0,8,35,Summer
2019-09-01,23.778950000000002,86.39515,304.1,1.0,1.0,34.5,278.6,5.05,2.0,9,35,Summer
2019-09-02,20.9616,85.1757,315.8,1.0,1.0,38.0,292.1,8.4,2.0,9,36,Summer
2019-09-03,16.08875,78.8947,313.25,1.0,1.0,58.5,291.6,9.5,2.0,9,36,Summer
2019-09-04,16.44885,77.21465,314.1,3.1,1.7,31.0,292.6,38.400000000000006,0.0,9,36,Summer
2019-09-05,9.7003,78.1004,309.7,1.2,1.1,57.0,291.8,8.7,2.0,9,36,Summer
2019-09-06,23.77695,85.6215,313.75,1.3,1.1,48.5,292.2,9.5,2.0,9,36,Summer
2019-09-07,23.83865,82.96575,302.35,1.05,1.0,35.5,290.1,4.6,2.0,9,36,Summer
2019-09-08,23.2286,85.09245,309.0,1.0,1.0,65.0,292.5,6.0,2.0,9,36,Summer
2019-09-09,20.95995,84.09905,315.1,1.15,1.1,51.5,295.45,8.85,2.0,9,37,Summer
2019-09-10,19.416649999999997,80.0672,316.04999999999995,2.0,1.4,34.0,294.65,17.950000000000003,0.0,9,37,Summer
2019-09-11,21.10955,80.46600000000001,311.2,1.55,1.2,36.5,294.04999999999995,11.7,2.0,9,37,Summer
2019-09-12,20.9576,83.80145,318.45,1.1,1.0,61.5,298.45,10.2,2.0,9,37,Summer
2019-09-13,19.06815,80.51705000000001,313.20000000000005,2.9000000000000004,1.65,44.5,293.25,24.95,2.0,9,37,Summer
